iter	MultiClass
0	4.070515732
1	4.045722829
2	4.022830049
3	4.004263826
4	3.981898734
5	3.959385218
6	3.938489623
7	3.914717388
8	3.890738107
9	3.867503217
10	3.844830409
11	3.823413654
12	3.800327694
13	3.778555507
14	3.754909453
15	3.731928111
16	3.710275806
17	3.689350562
18	3.669532556
19	3.654353243
20	3.632821438
21	3.613785672
22	3.595544444
23	3.574423292
24	3.550756689
25	3.529810405
26	3.505434406
27	3.48498834
28	3.463926607
29	3.444234448
30	3.423769749
31	3.403429567
32	3.380987801
33	3.358723349
34	3.33988245
35	3.319789242
36	3.300282388
37	3.282309862
38	3.262796223
39	3.242548573
40	3.225127722
41	3.207123516
42	3.188119277
43	3.170428691
44	3.151839442
45	3.134278414
46	3.115828961
47	3.102915974
48	3.082757223
49	3.063868517
50	3.044728066
51	3.026009587
52	3.007872492
53	2.990232236
54	2.972989326
55	2.954659651
56	2.936184479
57	2.918638311
58	2.900337366
59	2.88193496
60	2.864981576
61	2.846976312
62	2.828630926
63	2.81202231
64	2.794968477
65	2.778127068
66	2.764282176
67	2.748324416
68	2.731532942
69	2.716674494
70	2.699417365
71	2.682982345
72	2.665092753
73	2.649913946
74	2.635967003
75	2.619224285
76	2.59944117
77	2.584283711
78	2.568064785
79	2.550619989
80	2.534981287
81	2.519979592
82	2.503993907
83	2.487806831
84	2.473318151
85	2.459081593
86	2.446306615
87	2.429487995
88	2.413045795
89	2.396546475
90	2.381125471
91	2.367520112
92	2.352805774
93	2.33776728
94	2.326765178
95	2.311837919
96	2.297481343
97	2.283978846
98	2.270576811
99	2.256153874
100	2.242769274
101	2.229455645
102	2.216606025
103	2.204151813
104	2.188242747
105	2.174535155
106	2.159813229
107	2.147948223
108	2.136442495
109	2.122732206
110	2.109633249
111	2.096899407
112	2.082592193
113	2.068810584
114	2.056046002
115	2.043461681
116	2.031901243
117	2.018995873
118	2.009031463
119	1.996949909
120	1.986310618
121	1.973306113
122	1.962269685
123	1.950522209
124	1.938705487
125	1.926502451
126	1.914302177
127	1.902742909
128	1.890199192
129	1.879261956
130	1.868212427
131	1.854696564
132	1.844215681
133	1.834147672
134	1.823723264
135	1.811184515
136	1.800623184
137	1.788615477
138	1.775908871
139	1.76385901
140	1.753989408
141	1.741901374
142	1.732097392
143	1.723093757
144	1.712026145
145	1.700715892
146	1.6897674
147	1.679894739
148	1.67178094
149	1.662887386
150	1.652392687
151	1.642606353
152	1.633088322
153	1.623609647
154	1.613362416
155	1.604243468
156	1.595978861
157	1.587129073
158	1.57787963
159	1.569156297
160	1.559909954
161	1.552451815
162	1.544259115
163	1.534682343
164	1.525900449
165	1.51627129
166	1.50697279
167	1.498042447
168	1.490745823
169	1.482896884
170	1.474346651
171	1.465604751
172	1.457538046
173	1.449386497
174	1.441698488
175	1.433214834
176	1.426251994
177	1.419164267
178	1.411479253
179	1.404204811
180	1.395899125
181	1.388674913
182	1.380734439
183	1.372752913
184	1.364817073
185	1.356422118
186	1.348503754
187	1.34032214
188	1.333816632
189	1.326529907
190	1.319158714
191	1.311272123
192	1.304011812
193	1.296522833
194	1.289123337
195	1.283222457
196	1.277275028
197	1.270154323
198	1.263178528
199	1.257055973
200	1.250315817
201	1.243774895
202	1.237795752
203	1.232027556
204	1.226746194
205	1.221818829
206	1.215517282
207	1.210980778
208	1.204594748
209	1.197988861
210	1.192313801
211	1.186798106
212	1.180342132
213	1.174108298
214	1.168017967
215	1.161648026
216	1.155956931
217	1.149935383
218	1.144248415
219	1.138076409
220	1.133916074
221	1.130950727
222	1.124538488
223	1.118386469
224	1.112474009
225	1.107305863
226	1.101516629
227	1.095355709
228	1.092125147
229	1.086656461
230	1.08111319
231	1.076367227
232	1.071140499
233	1.065770258
234	1.059281059
235	1.053620256
236	1.048658409
237	1.042578594
238	1.037236615
239	1.032874978
240	1.027683638
241	1.022417017
242	1.017555296
243	1.01211138
244	1.00840756
245	1.003662888
246	0.9979698797
247	0.992680732
248	0.9876151329
249	0.9835079146
250	0.9785076451
251	0.9741288625
252	0.96984431
253	0.9658028925
254	0.9614800721
255	0.9585069036
256	0.9533179039
257	0.9484916185
258	0.9445181271
259	0.9401160597
260	0.9366440016
261	0.9339110834
262	0.9301299415
263	0.9255862324
264	0.9212703462
265	0.9172180999
266	0.9130733193
267	0.9090489373
268	0.9057334562
269	0.9020052096
270	0.8982318375
271	0.8946627372
272	0.8914572011
273	0.8875540767
274	0.8829715092
275	0.8795556011
276	0.8755428034
277	0.8711233053
278	0.8666728295
279	0.8629869048
280	0.8595448494
281	0.8562872969
282	0.8525336228
283	0.8485889742
284	0.8446465167
285	0.8406608117
286	0.8370799781
287	0.833920569
288	0.8305045775
289	0.8273634717
290	0.8242727217
291	0.8207140451
292	0.8172505973
293	0.8134246933
294	0.8096723112
295	0.8063261877
296	0.8027667519
297	0.799519781
298	0.7957993424
299	0.7924377526
300	0.7889817171
301	0.7858050776
302	0.7822871772
303	0.7783484989
304	0.7754047501
305	0.7726834955
306	0.7699537299
307	0.7665863765
308	0.763599344
309	0.7606511882
310	0.7570582418
311	0.7543520867
312	0.7513840587
313	0.7487446035
314	0.7464395327
315	0.7431884328
316	0.7405464365
317	0.7374119041
318	0.7351557194
319	0.7322147768
320	0.7294858201
321	0.7263541159
322	0.7238510181
323	0.720635981
324	0.7175855663
325	0.7149591184
326	0.7121746989
327	0.7096495745
328	0.7073798342
329	0.7049282168
330	0.7020366442
331	0.6996023017
332	0.6972647778
333	0.6948068272
334	0.6921226109
335	0.6894220022
336	0.6880305118
337	0.6854244151
338	0.6832747447
339	0.6811073286
340	0.6788033084
341	0.676530818
342	0.6735760512
343	0.6712839352
344	0.6685203899
345	0.6661915966
346	0.6641868689
347	0.6619170113
348	0.6598427928
349	0.6581525698
350	0.6553526821
351	0.652772036
352	0.6500922892
353	0.6481022754
354	0.6459314871
355	0.6438420541
356	0.6418605489
357	0.6397552079
358	0.6372089404
359	0.6356629086
360	0.6336387881
361	0.6317096932
362	0.6292347573
363	0.6272407391
364	0.6255128303
365	0.6236330182
366	0.6214528293
367	0.6188143661
368	0.6167609806
369	0.6146265578
370	0.6126586909
371	0.6105339809
372	0.6084750991
373	0.6066121099
374	0.6040907968
375	0.6021648453
376	0.6003274512
377	0.5985497814
378	0.5964889995
379	0.5943263919
380	0.5925177403
381	0.5904007859
382	0.5887095632
383	0.5863751563
384	0.5845540628
385	0.5822826193
386	0.5806757414
387	0.5789550428
388	0.5769472932
389	0.5752783549
390	0.5735121126
391	0.5719559539
392	0.5703577933
393	0.5682698149
394	0.5664714864
395	0.5645637159
396	0.5630126815
397	0.5611079888
398	0.5592610018
399	0.5575644557
400	0.5557705176
401	0.5540920679
402	0.5520173231
403	0.5503226551
404	0.5483167456
405	0.5463264884
406	0.5444816163
407	0.5426922268
408	0.5413137418
409	0.5393504438
410	0.5375991832
411	0.5361327543
412	0.5341872736
413	0.5329014245
414	0.5312293744
415	0.529713688
416	0.5279082436
417	0.5263805143
418	0.524930557
419	0.5234878465
420	0.5218829078
421	0.5203780713
422	0.5190979882
423	0.517275033
424	0.5156790395
425	0.5142199634
426	0.5127414709
427	0.5109322603
428	0.5095994848
429	0.5079482761
430	0.5067513212
431	0.5052499986
432	0.5038784491
433	0.5024282569
434	0.5007478303
435	0.4992922358
436	0.4977236038
437	0.4965220502
438	0.4952920513
439	0.4935898811
440	0.4922588773
441	0.4906571922
442	0.4893611174
443	0.4879992037
444	0.4866040834
445	0.4851345697
446	0.4835757652
447	0.4822741391
448	0.4807590576
449	0.4793536148
450	0.4779434209
451	0.4766137151
452	0.4750552276
453	0.4734098224
454	0.4718806547
455	0.4704358743
456	0.4692419416
457	0.4679266117
458	0.4664770691
459	0.4652988187
460	0.4642938736
461	0.4628544079
462	0.4614893757
463	0.4602917402
464	0.4591933695
465	0.457851405
466	0.4564159063
467	0.4554247561
468	0.4541469639
469	0.4527732795
470	0.4514479254
471	0.4504092528
472	0.4494214582
473	0.4481800478
474	0.4471850217
475	0.446381407
476	0.4451005399
477	0.4438285096
478	0.4428687897
479	0.4417583141
480	0.4406730123
481	0.439357428
482	0.4379310231
483	0.4366877818
484	0.4355391192
485	0.434462904
486	0.4332048288
487	0.4320361047
488	0.4308538689
489	0.4297969114
490	0.4288035284
491	0.4275832998
492	0.4264495524
493	0.4253851767
494	0.4241391784
495	0.4232286632
496	0.4218876847
497	0.4206008362
498	0.4196137215
499	0.4184090873
500	0.4175901235
501	0.4163009309
502	0.4151285859
503	0.4139592897
504	0.4130290048
505	0.4116934827
506	0.4107809439
507	0.4096040824
508	0.4086430261
509	0.407655176
510	0.4066084908
511	0.4052726485
512	0.4042605753
513	0.4034300941
514	0.4025351946
515	0.4013442214
516	0.4005482254
517	0.3996539853
518	0.3988088835
519	0.3976005781
520	0.396535768
521	0.395694959
522	0.3943349247
523	0.3932804695
524	0.3924501639
525	0.3915887251
526	0.3906067733
527	0.3895626959
528	0.3885399411
529	0.3875516989
530	0.3868680105
531	0.3856899821
532	0.3846920766
533	0.3836204186
534	0.3826854425
535	0.3817106723
536	0.3808503044
537	0.379723738
538	0.3789081404
539	0.3781468578
540	0.377207784
541	0.3763967033
542	0.3754470789
543	0.3747912373
544	0.3737848515
545	0.3730180077
546	0.3721583984
547	0.3712609192
548	0.3705057084
549	0.3693940527
550	0.3684981603
551	0.3678189918
552	0.3669144248
553	0.3662314298
554	0.3655348125
555	0.3646450095
556	0.3638567148
557	0.363093663
558	0.362273293
