iter	Passed	Remaining
0	21	2126
1	43	2111
2	65	2106
3	71	1722
4	92	1764
5	114	1788
6	137	1832
7	161	1860
8	184	1870
9	205	1847
10	227	1837
11	247	1812
12	269	1801
13	290	1782
14	312	1772
15	336	1764
16	357	1744
17	380	1732
18	401	1711
19	423	1695
20	445	1675
21	466	1654
22	489	1638
23	511	1619
24	533	1600
25	554	1577
26	576	1558
27	599	1540
28	628	1537
29	660	1540
30	695	1547
31	728	1548
32	762	1547
33	798	1549
34	830	1542
35	862	1533
36	893	1521
37	925	1510
38	964	1507
39	995	1492
40	1027	1478
41	1060	1464
42	1091	1446
43	1123	1429
44	1156	1413
45	1187	1394
46	1230	1388
47	1263	1368
48	1294	1347
49	1326	1326
50	1359	1306
51	1391	1284
52	1422	1261
53	1454	1239
54	1485	1215
55	1516	1191
56	1545	1166
57	1576	1141
58	1613	1121
59	1655	1103
60	1689	1080
61	1721	1055
62	1750	1028
63	1783	1003
64	1814	977
65	1844	950
66	1881	926
67	1914	901
68	1946	874
69	1976	847
70	2005	819
71	2037	792
72	2074	767
73	2112	742
74	2163	721
75	2202	695
76	2237	668
77	2273	641
78	2311	614
79	2347	586
80	2385	559
81	2422	531
82	2465	505
83	2508	477
84	2544	449
85	2580	420
86	2618	391
87	2653	361
88	2687	332
89	2721	302
90	2753	272
91	2786	242
92	2819	212
93	2854	182
94	2886	151
95	2919	121
96	2950	91
97	2983	60
98	3014	30
99	3045	0
