iter	Passed	Remaining
0	57	57921
1	61	30609
2	64	21391
3	68	17063
4	70	14078
5	72	12026
6	77	11040
7	80	9976
8	85	9458
9	86	8587
10	88	7926
11	89	7379
12	91	6942
13	93	6551
14	96	6312
15	96	5938
16	97	5662
17	100	5477
18	101	5253
19	104	5100
20	106	4948
21	108	4812
22	109	4657
23	110	4504
24	111	4342
25	112	4200
26	115	4167
27	117	4092
28	122	4104
29	124	4011
30	126	3951
31	126	3838
32	128	3767
33	130	3695
34	132	3640
35	132	3543
36	136	3556
37	137	3485
38	139	3426
39	140	3367
40	142	3328
41	143	3262
42	144	3218
43	145	3161
44	146	3104
45	146	3039
46	147	2995
47	149	2955
48	149	2909
49	150	2857
50	152	2842
51	153	2804
52	154	2768
53	157	2761
54	161	2775
55	162	2745
56	163	2710
57	164	2678
58	165	2639
59	166	2606
60	167	2576
61	168	2547
62	168	2512
63	169	2478
64	171	2461
65	173	2454
66	175	2443
67	177	2437
68	181	2444
69	181	2411
70	182	2390
71	183	2366
72	184	2341
73	185	2315
74	186	2297
75	187	2281
76	189	2272
77	190	2254
78	193	2251
79	194	2234
80	195	2216
81	195	2190
82	196	2171
83	197	2153
84	198	2136
85	201	2141
86	202	2124
87	203	2106
88	204	2089
89	206	2083
90	208	2081
91	208	2060
92	209	2046
93	210	2033
94	211	2016
95	212	2001
96	212	1982
97	214	1970
98	214	1955
99	215	1939
100	215	1921
101	217	1912
102	218	1900
103	218	1883
104	220	1877
105	220	1863
106	222	1853
107	222	1835
108	223	1827
109	223	1810
110	224	1796
111	225	1784
112	226	1775
113	227	1768
114	228	1758
115	229	1747
116	230	1737
117	231	1731
118	233	1725
119	234	1718
120	235	1711
121	236	1705
122	237	1694
123	237	1681
124	238	1666
125	239	1659
126	239	1646
127	240	1635
128	241	1627
129	242	1621
130	243	1617
131	245	1611
132	246	1603
133	246	1596
134	248	1593
135	250	1590
136	251	1582
137	252	1574
138	252	1565
139	253	1558
140	254	1550
141	255	1542
142	256	1534
143	256	1524
144	257	1519
145	258	1514
146	260	1509
147	261	1503
148	262	1497
149	262	1488
150	263	1482
151	266	1485
152	267	1478
153	268	1473
154	268	1465
155	269	1457
156	270	1451
157	271	1444
158	271	1438
159	272	1431
160	273	1424
161	273	1415
162	274	1409
163	275	1406
164	276	1398
165	277	1393
166	278	1388
167	279	1382
168	280	1377
169	280	1368
170	281	1363
171	281	1357
172	282	1351
173	283	1345
174	284	1339
175	284	1330
176	284	1325
177	285	1316
178	285	1311
179	286	1304
180	287	1298
181	287	1293
182	288	1289
183	289	1284
184	290	1279
185	292	1278
186	295	1283
187	295	1278
188	296	1270
189	297	1267
190	297	1259
191	299	1261
192	301	1258
193	303	1261
194	304	1258
195	305	1251
196	305	1244
197	306	1240
198	309	1247
199	311	1244
200	312	1241
201	313	1237
202	314	1233
203	315	1230
204	316	1227
205	317	1222
206	318	1219
207	319	1215
208	320	1211
209	321	1208
210	323	1211
211	325	1210
212	326	1207
213	328	1205
214	329	1202
215	330	1200
216	331	1195
217	332	1192
218	333	1188
219	334	1184
220	335	1182
221	336	1179
222	339	1182
223	342	1185
224	343	1182
225	344	1178
226	345	1175
227	345	1171
228	346	1167
229	347	1164
230	349	1161
231	350	1160
232	354	1167
233	356	1166
234	357	1163
235	360	1167
236	361	1163
237	362	1161
238	363	1158
239	364	1155
240	367	1157
241	369	1158
242	371	1157
243	373	1155
244	374	1153
245	375	1151
246	377	1150
247	378	1146
248	379	1144
249	380	1141
250	381	1138
251	382	1134
252	386	1140
253	387	1137
254	388	1133
255	388	1128
256	389	1125
257	390	1121
258	391	1118
259	391	1115
260	392	1111
261	393	1108
262	394	1105
263	395	1102
264	396	1100
265	397	1098
266	399	1098
267	401	1095
268	401	1092
269	402	1088
270	404	1087
271	405	1084
272	406	1081
273	407	1079
274	408	1076
275	409	1073
276	409	1069
277	410	1066
278	411	1063
279	412	1060
280	413	1058
281	414	1055
282	415	1052
283	416	1049
284	417	1046
285	417	1043
286	418	1039
287	419	1036
288	419	1033
289	420	1030
290	421	1027
291	423	1026
292	424	1024
293	425	1021
294	426	1019
295	428	1018
296	428	1015
297	429	1011
298	430	1009
299	431	1006
300	432	1004
301	433	1001
302	434	999
303	435	996
304	435	993
305	436	990
306	437	987
307	438	984
308	439	982
309	440	979
310	442	979
311	444	979
312	445	977
313	446	975
314	447	972
315	448	970
316	449	967
317	449	964
318	450	961
319	451	959
320	452	956
321	452	953
322	453	950
323	454	948
324	455	945
325	459	950
326	460	947
327	461	946
328	462	943
329	463	941
330	464	938
